episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
64,Q005,0.6936,4,2,accepted,1,1.0,3.433,320,266,102,0.004617,-0.594927,nan,-0.544416,-0.459688,-0.60705,True
65,Q006,0.4851,4,2,accepted,1,1.0,6.165,313,270,104,0.007622,-0.585969,nan,-0.57512,-0.487205,-0.625268,True
66,Q009,0.5124,4,2,accepted,1,1.0,3.061,166,274,106,0.012486,-0.598136,nan,-0.574677,-0.487358,-0.646834,True
67,Q034,0.514,4,2,accepted,1,1.0,6.289,676,278,108,0.004831,-0.576129,nan,-0.534362,-0.461274,-0.63176,True
68,Q008,0.5722,4,2,accepted,1,1.0,6.629,556,282,110,0.003553,-0.550207,nan,-0.534959,-0.469223,-0.565573,True
69,Q013,0.5537,4,2,accepted,1,1.0,4.92,355,286,112,0.005349,-0.605988,nan,-0.56388,-0.511061,-0.61985,True
70,Q028,0.6019,4,2,accepted,1,1.0,3.414,621,290,114,0.003871,-0.581138,nan,-0.60307,-0.52121,-0.643563,True
71,Q010,0.6461,4,2,accepted,1,1.0,4.817,762,294,116,0.005433,-0.53636,nan,-0.57992,-0.474917,-0.622908,True
72,Q031,0.3423,4,2,accepted,1,0.6667,6.971,726,298,118,0.004877,-0.558263,nan,-0.602258,-0.51082,-0.654106,True
73,Q033,0.3343,4,2,accepted,1,0.75,7.574,695,302,120,0.005357,-0.57594,nan,-0.562891,-0.50244,-0.600674,True
74,Q025,0.6095,4,2,accepted,1,1.0,8.131,1348,306,122,0.005079,-0.593247,nan,-0.596181,-0.513884,-0.613574,True
75,Q011,0.1199,4,2,accepted,1,0.5,8.834,1190,310,124,0.007641,-0.553967,nan,-0.604711,-0.535055,-0.611474,True
76,Q017,0.5659,4,2,accepted,1,1.0,9.851,1313,314,126,0.00451,-0.54462,nan,-0.613262,-0.493366,-0.596177,True
77,Q007,0.629,4,2,accepted,1,1.0,2.349,430,318,128,0.005046,-0.580047,nan,-0.597023,-0.54051,-0.617628,True
78,Q025,0.6126,4,2,accepted,1,1.0,7.158,1355,322,130,0.008141,-0.572487,nan,-0.54632,-0.494762,-0.578725,True
79,Q013,0.5481,4,2,accepted,1,1.0,13.133,1167,326,132,0.006657,-0.591294,nan,-0.592812,-0.518176,-0.669224,True
80,Q002,0.5757,4,2,accepted,1,1.0,2.243,1204,330,134,0.007201,-0.572582,nan,-0.616697,-0.528816,-0.673196,True
81,Q021,0.4008,4,2,accepted,1,1.0,3.023,1213,334,136,0.005987,-0.567214,nan,-0.540872,-0.481629,-0.615401,True
82,Q028,0.6027,4,2,accepted,1,1.0,3.929,1468,338,138,0.006372,-0.627796,nan,-0.554887,-0.493842,-0.597621,True
83,Q036,0.5222,4,2,accepted,1,1.0,6.036,2480,342,140,0.003427,-0.716157,nan,-0.617798,-0.558833,-0.695996,True
84,Q027,0.3777,4,2,accepted,1,1.0,14.405,3448,346,142,0.006065,-0.662054,nan,-0.571255,-0.523425,-0.593951,True
85,Q024,0.5795,4,2,accepted,1,1.0,9.533,3149,350,144,0.007491,-0.607929,nan,-0.555439,-0.525563,-0.591616,True
86,Q012,0.4371,4,2,accepted,1,1.0,7.825,2461,354,146,0.008074,-0.614996,nan,-0.568279,-0.535931,-0.637381,True
87,Q001,0.6687,4,2,accepted,1,1.0,3.148,2310,358,148,0.008456,-0.606997,nan,-0.622299,-0.543801,-0.646177,True
88,Q029,0.6207,4,2,accepted,1,1.0,5.331,3215,362,150,0.005277,-0.576324,nan,-0.561241,-0.516797,-0.603821,True
89,Q014,0.2289,4,2,accepted,1,0.6667,7.657,3441,366,152,0.006045,-0.576909,nan,-0.586599,-0.540787,-0.649367,True
90,Q029,0.6238,4,2,accepted,1,1.0,5.302,3213,370,154,0.005299,-0.56502,nan,-0.568502,-0.565019,-0.678425,True
91,Q037,0.5613,4,2,accepted,1,1.0,5.12,2869,374,156,0.010952,-0.546813,nan,-0.549308,-0.493881,-0.582975,True
92,Q026,0.4726,4,2,accepted,1,1.0,8.371,3576,378,158,0.002894,-0.566866,nan,-0.553069,-0.50121,-0.683835,True
93,Q025,0.4709,4,2,accepted,1,1.0,6.497,3306,382,160,0.007175,-0.618341,nan,-0.59035,-0.563031,-0.722981,True
94,Q025,0.4653,4,2,accepted,1,1.0,7.669,3034,386,162,0.007053,-0.563002,nan,-0.530575,-0.494071,-0.608802,True
95,Q027,0.3755,4,2,accepted,1,1.0,10.737,3404,390,164,0.007279,-0.553239,nan,-0.551479,-0.515541,-0.640201,True
96,Q033,0.3593,4,2,accepted,1,0.8,7.303,3225,394,166,0.003926,-0.606479,nan,-0.559726,-0.551147,-0.644927,True
97,Q022,-1.2436,12,4,timeout,0,0.0,8.608,5789,406,172,0.004555,-0.547456,nan,-0.569194,-0.514556,-0.648822,True
98,Q034,0.4962,4,2,accepted,1,1.0,6.962,2767,410,174,0.021732,-0.558762,nan,-0.501454,-0.499207,-0.601282,True
99,Q022,-1.2429,12,4,timeout,0,0.0,7.066,6800,422,180,0.019779,-0.584496,nan,-0.500569,-0.490161,-0.609903,True
100,Q019,0.5671,4,2,accepted,1,1.0,6.904,3149,426,182,0.003331,-0.563533,nan,-0.55141,-0.522087,-0.655799,True
101,Q036,0.491,4,2,accepted,1,1.0,3.315,2568,430,184,0.023161,-0.529373,nan,-0.488478,-0.478185,-0.604409,True
102,Q035,0.5953,4,2,accepted,1,1.0,7.772,3001,434,186,0.007515,-0.545111,nan,-0.53261,-0.488944,-0.637299,True
103,Q029,0.6206,4,2,accepted,1,1.0,5.635,3215,438,188,0.004978,-0.560539,nan,-0.534588,-0.536478,-0.652385,True
104,Q011,0.2312,4,2,accepted,1,0.75,11.178,3159,442,190,0.004417,-0.531195,nan,-0.50698,-0.473779,-0.588179,True
105,Q031,0.4723,4,2,accepted,1,1.0,9.342,3008,446,192,0.003847,-0.571588,nan,-0.595676,-0.569458,-0.6598,True
106,Q008,0.4532,4,2,accepted,1,1.0,8.091,3154,450,194,0.00879,-0.561951,nan,-0.538372,-0.526986,-0.606382,True
107,Q005,0.6268,4,2,accepted,1,1.0,3.796,2455,454,196,0.005172,-0.569969,nan,-0.448457,-0.476098,-0.629977,True
